cell	keep	rename_to
fine_scores.Tissue_stem_cells.BM_MSC.osteogenic	no	na
fine_scores.Tissue_stem_cells.CD326.CD56.	no	na
fine_scores.Tissue_stem_cells.adipose.derived_MSC_AM3	no	na
fine_scores.Tissue_stem_cells.dental_pulp	no	na
fine_scores.Tissue_stem_cells.iliac_MSC	no	na
fine_scores.Tissue_stem_cells.lipoma.derived_MSC	no	na
fine_scores.iPS_cells.CRL2097_foreskin	no	na
fine_scores.iPS_cells.CRL2097_foreskin.derived.d20_hepatic_diff	no	na
fine_scores.iPS_cells.CRL2097_foreskin.derived.undiff.	no	na
fine_scores.iPS_cells.PDB_1lox.17Puro.10	no	na
fine_scores.iPS_cells.PDB_1lox.17Puro.5	no	na
fine_scores.iPS_cells.PDB_1lox.21Puro.20	no	na
fine_scores.iPS_cells.PDB_1lox.21Puro.26	no	na
fine_scores.iPS_cells.PDB_2lox.17	no	na
fine_scores.iPS_cells.PDB_2lox.21	no	na
fine_scores.iPS_cells.PDB_2lox.22	no	na
fine_scores.iPS_cells.PDB_2lox.5	no	na
fine_scores.iPS_cells.PDB_fibroblasts	no	na
fine_scores.iPS_cells.adipose_stem_cell.derived.lentiviral	no	na
fine_scores.iPS_cells.adipose_stem_cell.derived.minicircle.derived	no	na
fine_scores.iPS_cells.adipose_stem_cells	no	na
fine_scores.iPS_cells.fibroblast.derived.Direct_del._reprog	no	na
fine_scores.iPS_cells.fibroblast.derived.Retroviral_transf	no	na
fine_scores.iPS_cells.fibroblasts	no	na
fine_scores.iPS_cells.foreskin_fibrobasts	no	na
fine_scores.iPS_cells.iPS.minicircle.derived	no	na
fine_scores.iPS_cells.skin_fibroblast	no	na
fine_scores.iPS_cells.skin_fibroblast.derived	no	na
gene_markers_NB_predicted.cell.signature.ident	yes	gene_markers_NB_predicted.cell.signature.ident
Annotated_Clusters	yes	Annotated Clusters
gene_markers_Patel_2022_predicted.cell.signature.ident	yes	gene_markers_Patel_2022_predicted.cell.signature.ident
gene_markers_Danielli_2024_predicted.cell.signature.ident	yes	gene_markers_Danielli_2024_predicted.cell.signature.ident
